,CM5100-440,Skyworth DOCSIS 3.0 Cable Modem <<HW_REV: V2.1; VENDOR: Skyworth; BOOTR: 2.4.0mp1; SW_REV: V1.2.1; MODEL: CM5100-440>
,CM5100-511,Skyworth DOCSIS 3.0 Wireless CableModem <<HW_REV: 1.1; VENDOR: Skyworth; BOOTR: 2.4.0mp1; SW_REV: 4.1.0.14; MODEL: CM5100-511>
,CM5100-GHD00,Skyworth DOCSIS 3.0 Cable Modem <<HW_REV: V2.1; VENDOR: Skyworth; BOOTR: 2.4.0mp1; SW_REV: V1.2.2; MODEL: CM5100-GHD00>
,CM5100.g2,Skyworth DOCSIS 3.0 Wireless CableModem <<HW_REV: V5.11; VENDOR: Skyworth; BOOTR: 2.4.0mp1; SW_REV: 4.1.0.17; MODEL: CM5100.g2>
,,
Technicolor,CGA0111,Technicolor CGA0111 Wireless/Voice Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.4.0; SW_REV: CGA0111E-ES-13-E23E-c8000r5712-170217-0829-TRU; MODEL: CGA0111>
,CWA0101,Technicolor CWA0101 Wireless Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.4.0; SW_REV: CWA0101E-A23E-c7000r5712-170315-SKC; MODEL: CWA0101>
,DPC3928SL,Cisco DPC3928SL DOCSIS 3.0 1-PORT Voice Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.4.0; SW_REV: D3928SL-PSIP-13-A010-c3420r55105-170214a; MODEL: DPC3928SL>>
,TC7110.AR,Technicolor CableHome Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.3.1; SW_REV: STD3.38.03; MODEL: TC7110.AR>>
,TC7110.B,Technicolor CableHome Gateway <<HW_REV: 2.0; VENDOR: Technicolor; BOOTR: 2.3.1; SW_REV: STC8.62.02; MODEL: TC7110.B>>
,TC7110.D,Technicolor CableHome Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.3.1; SW_REV: STDB.79.02; MODEL: TC7110.d>>
,TC7200.d1I,Technicolor TC7200.d1I Wireless Gateway <<HW_REV: 1.0; VENDOR: Technicolor; BOOTR: 2.4.0; SW_REV: TC7200.d1IE-N23E-c7000r5712-170406-HAT; MODEL: TC7200.d1I>
,TC7200.TH2v2,BFC cablemodem reference design <<HW_REV: 01.00; VENDOR: Technicolor; BOOTR: 2.4.0.r2; SW_REV: SC05.00.22; MODEL: TC7200.TH2v2>>
,,
TEKNOTEL,CBW700N,CBW700N <<HW_REV: 1.0; VENDOR: TEKNOTEL; BOOTR: 2.3.1; SW_REV: 81.447.392110.729.024; MODEL: CBW700N>>
,,
Thomson,DWG849,Thomson CableHome Gateway <<HW_REV: 1.0; VENDOR: Thomson; BOOTR: 2.1.7i; SW_REV: STC0.01.16; MODEL: DWG849>>
,DWG850-4,Thomson CableHome Gateway <<HW_REV: 2.1; VENDOR: Thomson; BOOTR: 2.1.7i; SW_REV: ST9C.05.25; MODEL: DWG850-4>>
,DWG855,Thomson CableHome Gateway <<HW_REV: 2.1.; VENDOR: Thomson; BOOTR: 2.1.7i; SW_REV: ST80.20.26; MODEL: DWG855>>
,TWG870,Thomson Wireless PacketCable Gateway E-MTA <<HW_REV: 1.1; VENDOR: Thomson; BOOTR: 2.3.0; SW_REV: STB2.01.36; MODEL: TWG870>>
,,
Ubee,DVW2108,Ubee PacketCable 1.5 W-EMTA <<HW_REV: 3.10.1; VENDOR: Ubee; BOOTR: 9.1.1a; SW_REV: 6.28.1017; MODEL: DVW2108>>
,DVW2110,Ubee PacketCable 1.5 W-EMTA <<HW_REV: 3.10.1; VENDOR: Ubee; BOOTR: 9.1.1b; SW_REV: 6.28.2012; MODEL: DVW2110>>
,,
"Zoom Telephonics, Inc.",5352,"""Ethernet/Wireless Cable Modem/Router <<HW_REV: A0; VENDOR: Zoom Telephonics, Inc.; BOOTR: 2.4.0alpha14; SW_REV: v5.5.8.6Y; MODEL: 5352>>"""
,,
,,
TOTAL,,
VENDORS,MODELOS,
23,57,
